,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,backshift,frontshift,opening,centering,closing,longdistance,secondrounded,rising,falling,contour
²⁴¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,+
⁴¹²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,+
õ,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,-,-,+,+,-,+,-,0,0,0,0,0,0,0,0,0,0,0,0
d̪͡z̪,-,-,+,-,+,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
²⁴²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,+
⁴¹³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,+
²⁴³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,+
ø,+,+,-,+,-,-,-,0,+,-,-,0,-,0,-,-,-,-,+,-,+,-,0,0,0,0,0,0,0,0,0,0,0,0
r̪,-,+,+,+,0,-,-,0,+,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ỹ,+,+,-,+,-,-,+,0,+,-,-,0,-,0,+,+,-,-,+,-,+,-,0,0,0,0,0,0,0,0,0,0,0,0
ɖʐ,-,-,+,-,+,-,-,0,+,-,-,-,+,-,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʈʂ,-,-,+,-,+,-,-,0,-,-,-,-,+,-,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
¹⁴⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,-
̃,-,+,+,-,-,-,+,0,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
b͡d,-,-,+,-,-,-,-,0,+,-,-,+,+,-,+,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
²⁵²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,+
⁵²²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,-,+,-
⁴²⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,+
²¹⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,-,+,+
⁴²⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,+
³¹²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,+
⁵²³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,-,+,+
³¹³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,+
²¹⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,-,+,+
²⁵¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,+
³¹¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,-
b͡v,-,-,+,-,+,-,-,+,+,-,-,+,-,0,+,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
²⁵³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,+
